Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG%,2P%,3P%,FT%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
1,Kim Aiken Jr.\kim-aikenjr-1,SO,2019-20,G,Eastern Washington,Big Sky,31,1015,.398,.525,.332,.787,32.7,4.5,11.3,2.0,3.9,2.5,7.4,1.9,2.4,1.6,8.2,9.7,1.3,1.7,1.0,1.6,3.0,13.3,18.7,.537,.507,5.2,26.7,16.0,6.8,2.9,3.0,11.7,20.2,381,106.9,91.3,1.7,2.3,4.0,1.6,1.4,3.0
2,CJ Elleby\cj-elleby-1,SO,2019-20,F,Washington State,Pac-12,32,1068,.396,.439,.339,.823,33.4,6.2,15.6,3.8,8.8,2.3,6.8,3.8,4.6,1.2,6.6,7.8,1.9,1.8,0.8,2.2,2.9,18.4,22.5,.519,.470,3.8,23.1,12.9,13.5,2.9,2.5,10.8,29.2,542,104.7,92.8,2.3,2.2,4.5,4.7,2.8,7.6
3,Ty Groce\ty-groce-1,JR,2019-20,F,Eastern Michigan,MAC,32,1017,.404,.528,.218,.721,31.8,3.8,9.3,2.9,5.6,0.8,3.7,3.2,4.4,1.2,4.1,5.2,2.1,1.8,0.8,2.3,2.4,11.5,16.9,.505,.448,4.1,14.8,9.4,14.9,3.2,3.6,16.7,22.0,370,98.9,93.2,1.1,2.1,3.2,-0.2,2.3,2.1
4,Devin Vassell\devin-vassell-1,SO,2019-20,G,Florida State,ACC,30,863,.490,.532,.415,.738,28.8,4.8,9.8,3.3,6.3,1.5,3.5,1.6,2.2,1.3,3.8,5.1,1.6,1.4,1.0,0.8,1.9,12.7,23.8,.585,.565,5.3,15.4,10.4,11.2,2.8,4.1,6.6,20.0,352,126.9,93.6,3.0,1.7,4.7,6.7,4.2,10.9
5,Kobe Brown\kobe-brown-1,FR,2019-20,F,Missouri,SEC,30,544,.401,.537,.253,.744,18.1,2.1,5.2,1.5,2.7,0.6,2.5,1.0,1.3,1.1,2.7,3.7,0.5,1.0,0.4,1.3,2.0,5.8,13.7,.496,.462,6.8,17.6,12.2,6.6,3.2,2.6,18.2,20.3,167,94.2,93.7,0.3,1.1,1.4,0.1,2.8,2.9
6,Miles McBride\miles-mcbride-1,FR,2019-20,G,West Virginia,Big 12,31,688,.402,.446,.304,.747,22.2,3.3,8.2,2.5,5.6,0.8,2.5,2.2,2.9,0.5,1.8,2.4,1.8,1.1,0.5,1.3,1.7,9.5,17.5,.498,.449,2.5,9.5,5.9,17.2,2.9,2.6,12.1,23.3,280,107.9,91.3,1.4,1.5,2.9,3.5,4.9,8.4
7,Julian Champagnie\julian-champagnie-1,FR,2019-20,G,St. John's (NY),Big East,32,819,.453,.511,.312,.754,25.6,3.8,8.3,3.0,5.9,0.8,2.4,1.6,2.2,1.8,4.7,6.5,0.8,1.2,0.8,1.2,1.7,9.9,18.6,.530,.498,6.7,19.5,12.8,5.5,2.6,3.7,11.3,19.0,295,107.1,94.8,1.3,1.5,2.9,2.5,2.1,4.6
8,Brandon Rachal\brandon-rachal-1,JR,2019-20,G,Tulsa,AAC,30,873,.441,.500,.246,.794,29.1,4.1,9.4,3.6,7.2,0.5,2.2,3.3,4.2,1.5,4.3,5.8,1.4,1.5,0.6,2.2,2.2,12.1,19.0,.534,.470,6.2,16.9,11.8,11.3,3.1,2.8,16.2,24.7,353,101.7,90.7,1.3,2.0,3.3,1.4,2.9,4.4
9,Paul Reed\paul-reed-5,JR,2019-20,F,DePaul,Big East,29,918,.516,.551,.308,.738,31.7,6.3,12.2,5.7,10.4,0.6,1.8,2.0,2.8,3.3,7.4,10.7,1.6,1.9,2.6,2.3,3.0,15.1,27.5,.561,.538,11.1,25.9,18.4,11.5,3.3,9.7,14.4,24.0,421,109.6,88.8,2.2,2.3,4.5,4.9,4.2,9.2
10,Jack White\jack-white-1,SR,2019-20,F,Duke,ACC,30,468,.388,.500,.327,.722,15.6,1.0,2.7,0.5,0.9,0.6,1.7,0.4,0.6,0.8,2.1,2.9,0.8,0.7,0.7,0.7,1.4,3.1,12.2,.519,.494,5.7,14.1,10.0,7.4,2.6,4.3,19.9,11.0,101,105.1,91.5,0.4,1.0,1.5,1.6,4.9,6.5
