Team,Pick,Ringer-KOC,Vecenie-The Athletic,Peek-Yahoo,Woo-SI,O’Donnell-SB Nation,Parrish-CBS Sports,Givony-ESPN,Wasserman-Bleacher Report,Tankathon,Netscouts,Hollinger-The Athletic,SB Nation Blogger Mock Draft
MIN,1,Anthony Edwards,LaMelo Ball,LaMelo Ball,Anthony Edwards,LaMelo Ball,LaMelo Ball,LaMelo Ball,LaMelo Ball,LaMelo Ball,LaMelo Ball,LaMelo Ball,Anthony Edwards
GSW,2,James Wiseman,James Wiseman,James Wiseman,James Wiseman,Anthony Edwards,James Wiseman,James Wiseman,James Wiseman,James Wiseman,James Wiseman,James Wiseman,James Wiseman
CHO,3,Onyeka Okongwu,Anthony Edwards,Anthony Edwards,LaMelo Ball,James Wiseman,Anthony Edwards,Anthony Edwards,Anthony Edwards,Anthony Edwards,Anthony Edwards,Anthony Edwards,LaMelo Ball
CHI,4,LaMelo Ball,Deni Avdija,Obi Toppin,Deni Avdija,Killian Hayes,Obi Toppin,Deni Avdija,Deni Avdija,Deni Avdija,Deni Avdija,Tyrese Halliburton,Killian Hayes
CLE,5,Deni Avdija,Obi Toppin,Deni Avdija,Obi Toppin,Obi Toppin,Deni Avdija,Obi Toppin,Obi Toppin,Obi Toppin,Obi Toppin,Obi Toppin,Onyeka Okongwu
ATL,6,Patrick Williams,Tyrese Halliburton,Onyeka Okongwu,Tyrese Halliburton,Deni Avdija,Tyrese Halliburton,Isaac Okoro,Tyrese Halliburton,Onyeka Okongwu,Onyeka Okongwu,Deni Avdija,Isaac Okoro
DET,7,Killian Hayes,Isaac Okoro,Tyrese Halliburton,Killian Hayes,Tyrese Halliburton,Isaac Okoro,Patrick Williams,Patrick Williams,Patrick Williams,Killian Hayes,Patrick Williams,RJ Hampton
NYK,8,Tyrese Halliburton,Devin Vassell,Killian Hayes,Isaac Okoro,Kira Lewis Jr.,Killian Hayes,Tyrese Halliburton,Isaac Okoro,Tyrese Halliburton,Devin Vassell,Tyrese Maxey,Devin Vassell
WAS,9,Obi Toppin,Onyeka Okongwu,Isaac Okoro,Onyeka Okongwu,Onyeka Okongwu,Onyeka Okongwu,Onyeka Okongwu,Onyeka Okongwu,Isaac Okoro,Tyrese Halliburton,Onyeka Okongwu,Tyrese Halliburton
PHO,10,Isaac Okoro,Killian Hayes,Tyrese Maxey,Precious Achiuwa,Patrick Williams,Saddiq Bey,Devin Vassell,Kira Lewis Jr.,Killian Hayes,Isaac Okoro,Killian Hayes,Kira Lewis Jr.
