Name,Draft Ranking
Immanuel Quickley,52
Aaron Nesmith,13
Nate Darling,90
Ty-Shon Alexander,67
Isaiah Joe,19
Tyrell Terry,20
Jordan Nwora,37
Saddiq Bey,16
Malachi Flynn,45
Malik Fitts,60
Tyrese Haliburton,3
Elijah Hughes,40
Mason Jones,56
Jalen Harris,55
Patrick Williams,9
Devin Vassell,14
Josh Green,25
Nico Mannion,33
Devon Dotson,35
Jaden McDaniels,32
Tyrese Maxey,11
Anthony Edwards,5
Tre Jones,34
Jalen Smith,28
Cole Anthony,18
Cassius Stanley,27
Ashton Hagans,46
Tyler Bey,42
Reggie Perry,58
Saben Lee,59
Obi Toppin,7
Jahmi'us Ramsey,36
Zeke Nnaji,43
Paul Reed,44
Daniel Oturu,41
Isaac Okoro,15
Onyeka Okongwu,6
James Wiseman,4
Vernon Carey Jr.,38
Xavier Tillman,26
Lamine Diane,48
Precious Achiuwa,17
Desmond Bane,23
Grant Riller,24
Cassius Winston,39
Payton Pritchard,47
Skylar Mays,49
Markus Howard,50
Sam Merrill,51
Killian Tillie,53
Robert Woodard II,29
Kira Lewis Jr.,10
Isaiah Stewart,31
Udoke Azubuike,63
Yoeli Childs,71
Nick Richards,72
Nathan Knight,73
Kaleb Wesson,75
Rayshaun Hammonds,81
Freddie Gillespie,83
Mamadi Diakite,85
Filip Petrusev,86
CJ Elleby,87
Jon Teske,92
Tyrique Jones,94
Sha'markus Kennedy,95
Omer Yurtseven,98
Austin Wiley,100
